,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
0,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T22:15:00Z,7,2020-06-20T03:45:00+05:30,o3,14.78,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
1,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T21:00:00Z,7,2020-06-20T02:30:00+05:30,o3,13.76,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
2,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T19:30:00Z,7,2020-06-20T01:00:00+05:30,o3,15.39,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
3,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T17:30:00Z,6,2020-06-19T23:00:00+05:30,o3,15.88,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
4,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T16:45:00Z,6,2020-06-19T22:15:00+05:30,o3,13.13,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
5,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T16:00:00Z,6,2020-06-19T21:30:00+05:30,o3,44.3,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
6,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T15:15:00Z,6,2020-06-19T20:45:00+05:30,o3,43.22,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
7,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T14:00:00Z,6,2020-06-19T19:30:00+05:30,o3,44.18,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
8,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T13:45:00Z,6,2020-06-19T19:15:00+05:30,o3,43.71,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
9,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T13:00:00Z,6,2020-06-19T18:30:00+05:30,o3,45.04,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
10,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-19T10:30:00Z,6,2020-06-19T16:00:00+05:30,o3,44.22,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
